run_tag	val_bpb	artifact_bytes	time	train_peak_rss_bytes	status	description
2026-03-26_mlx_quickbaseline_int8_rtn_zlib_val32768_skipfloat	1.90859022	12972589	16:45.91	1534263296	keep	Quick baseline with VAL_SUBSET_SEQS=32768 and SKIP_FINAL_FLOAT_VAL=1
2026-03-26_mlx_quick_attnproj_fp16_val32768_skipfloat	1.90831495	15556393	16:50.40	1535180800	keep	Keep all attn.proj.weight tensors in fp16 passthrough
2026-03-26_mlx_quick_cq_fp16_val32768_skipfloat	1.90688970	15664330	16:30.54	1535655936	keep	Keep all attn.c_q.weight tensors in fp16 passthrough
2026-03-26_mlx_quick_tokemb_fp16_val32768_skipfloat	1.90296877	13528468	16:31.44	1534754816	keep	Keep tok_emb.weight in fp16 passthrough
2026-03-26_mlx_quick_b8_mlpproj_fp16_val32768_skipfloat	1.89782535	13806627	16:33.22	1535344640	keep	Keep only blocks.8.mlp.proj.weight in fp16 passthrough
2026-03-26_mlx_quick_top2_mlpproj_fp16_val32768_skipfloat	1.90794527	14356628	16:37.00	1535836160	discard	Keep blocks.8.mlp.proj.weight and blocks.3.mlp.proj.weight in fp16 passthrough
2026-03-26_mlx_quick_int6_rtn_int8store_val32768_skipfloat	1.91171778	9561079	16:31.91	1534967808	keep	Pure INT6 RTN with int8 storage and the same zlib artifact format
2026-03-26_mlx_quick_mseclipsearch_val32768_skipfloat	1.90526995	13120228	16:37.42	1111146496	keep	Per-row and per-tensor MSE clip search over multiple int8 clip quantiles
2026-03-27_mlx_quick_allcv_fp16_val32768_skipfloat	1.90486882	14409723	16:31.56	1534558208	keep	Keep all attn.c_v.weight tensors in fp16 passthrough
2026-03-27_mlx_quick_int6_rtn_packbits_val32768_skipfloat	1.91314486	10531333	16:32.82	1533591552	discard	Pack the same INT6 RTN weights into 6-bit storage before zlib
2026-03-27_mlx_quick_allck_fp16_val32768_skipfloat	1.90747738	14385746	16:38.77	1111719936	discard	Keep all attn.c_k.weight tensors in fp16 passthrough
2026-03-27_mlx_quick_int6_b8_mlpproj_fp16_val32768_skipfloat	1.91199476	10320727	16:34.91	1535262720	discard	INT6 RTN with blocks.8.mlp.proj.weight kept in fp16 passthrough
2026-03-27_mlx_quick_int6_tokemb_fp16_val32768_skipfloat	1.90417061	10007819	16:33.16	1535655936	keep	INT6 RTN with tok_emb.weight kept in fp16 passthrough
2026-03-27_mlx_quick_mseclipsearch_b8_mlpproj_fp16_val32768_skipfloat	1.90395442	13768781	16:33.39	1533411328	discard	MSE clip-search int8 quantization with blocks.8.mlp.proj.weight kept in fp16 passthrough
2026-03-27_mlx_quick_mseclipsearch_tokemb_fp16_val32768_skipfloat	1.90989535	13341918	16:46.68	1110671360	discard	MSE clip-search int8 quantization with tok_emb.weight kept in fp16 passthrough
2026-03-27_mlx_quick_int6_mseclipsearch_val32768_skipfloat	1.91603788	9469098	16:38.48	1535918080	discard	INT6 quantization with per-row or per-tensor MSE clip search instead of fixed RTN clipping
